pair,model,auc,F1-Score,Precision,Recall,Confusion Matrix,best_params
1 vs 2,Random Forest,0.7727272727272727,0.5882352941176471,0.8333333333333334,0.45454545454545453,"[[19  1]
 [ 6  5]]","{'bootstrap': False, 'max_depth': 19, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 161}"
1 vs 2,XGBoost,0.6954545454545454,0.6,0.6666666666666666,0.5454545454545454,"[[17  3]
 [ 5  6]]","{'colsample_bytree': 0.6715890080754348, 'gamma': 3.6452485369202083, 'learning_rate': 0.14157167340388732, 'max_depth': 8, 'n_estimators': 146, 'subsample': 0.7969511998370118}"
1 vs 2,Logistic Regression,0.7590909090909091,0.5454545454545454,0.5454545454545454,0.5454545454545454,"[[15  5]
 [ 5  6]]",{'C': 2.9613933495037945}
1 vs 2,KNN,0.6545454545454545,0.35294117647058826,0.5,0.2727272727272727,"[[17  3]
 [ 8  3]]","{'n_neighbors': 4, 'weights': 'distance'}"
1 vs 2,SVM,0.7818181818181817,0.5555555555555556,0.7142857142857143,0.45454545454545453,"[[18  2]
 [ 6  5]]","{'C': 2.368514535642031, 'gamma': 'scale', 'kernel': 'rbf'}"
1 vs 0,Random Forest,0.5448275862068965,0.7397260273972602,0.6136363636363636,0.9310344827586207,"[[ 3 17]
 [ 2 27]]","{'bootstrap': True, 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 52}"
1 vs 0,XGBoost,0.6137931034482759,0.7164179104477612,0.631578947368421,0.8275862068965517,"[[ 6 14]
 [ 5 24]]","{'colsample_bytree': 0.8482345927989308, 'gamma': 1.4306966747518972, 'learning_rate': 0.07805543606926092, 'max_depth': 9, 'n_estimators': 67, 'subsample': 0.8597344848927815}"
1 vs 0,Logistic Regression,0.6344827586206896,0.7213114754098361,0.6875,0.7586206896551724,"[[10 10]
 [ 7 22]]",{'C': 2.368514535642031}
1 vs 0,KNN,0.4655172413793104,0.5384615384615384,0.6086956521739131,0.4827586206896552,"[[11  9]
 [15 14]]","{'n_neighbors': 13, 'weights': 'distance'}"
1 vs 0,SVM,0.5482758620689655,0.7384615384615385,0.6666666666666666,0.8275862068965517,"[[ 8 12]
 [ 5 24]]","{'C': 2.9613933495037945, 'gamma': 'scale', 'kernel': 'rbf'}"
0 vs 2,Random Forest,0.554858934169279,0.14285714285714285,0.3333333333333333,0.09090909090909091,"[[27  2]
 [10  1]]","{'bootstrap': False, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 146}"
0 vs 2,XGBoost,0.64576802507837,0.0,0.0,0.0,"[[26  3]
 [11  0]]","{'colsample_bytree': 0.6715890080754348, 'gamma': 3.6452485369202083, 'learning_rate': 0.14157167340388732, 'max_depth': 8, 'n_estimators': 146, 'subsample': 0.7969511998370118}"
0 vs 2,Logistic Regression,0.6520376175548589,0.45454545454545453,0.45454545454545453,0.45454545454545453,"[[23  6]
 [ 6  5]]",{'C': 2.368514535642031}
0 vs 2,KNN,0.5172413793103449,0.14285714285714285,0.3333333333333333,0.09090909090909091,"[[27  2]
 [10  1]]","{'n_neighbors': 13, 'weights': 'distance'}"
0 vs 2,SVM,0.6269592476489029,0.0,0.0,0.0,"[[26  3]
 [11  0]]","{'C': 7.064691855978616, 'gamma': 'scale', 'kernel': 'rbf'}"
